Age Certification,Description,Genres,Id,Imdb Id,Production Countries,Release Year,Title,Type,Imdb Score,Imdb Votes,Runtime,Seasons,Tmdb Popularity,Tmdb Score
G,"Kirmada, gets powerful by taking power of Shaitan, plans vengeance & tries to put troubles in Bheem and his friend's journey. However they manage to reach but things take a turn when the evil troops arrive and attack Bheem and his friends.",['animation'],tm481620,tt6543070,['IN'],2012,The Rise of Kirmada,MOVIE,8.2,67,68,,2.328,8
,Guru always helps his timid brother win accolades and promotions in his career as a policeman. But a brutal incident makes Guru realise that he needs to help his brother in another way.,"['action', 'thriller']",tm30278,tt1956697,['IN'],2012,Vettai,MOVIE,6,2450,150,,3.941,6.8
,"After finishing a successful meeting with his movie producers in Bangalore, Nanda, a jingles composer catches the highway to Chennai. On his way his car breaks down and he hitchhikes with Arjun, a businessman's son on his way to the same destination. During their journey together they discuss their personal lives till Arjun proposes a deal; a deal that is marked with murder but promises to better their personal lives. However this deal does not work in Nanda's favor and he soon finds himself in deeper complications.","['drama', 'thriller', 'action']",tm165932,tt2053397,['IN'],2011,Muran,MOVIE,6.3,294,134,,1.181,6.3
,"An intimate, and often humorous, portrait of three generations of exile in the refugee camp of Ein el-Helweh, in southern Lebanon. Based on a wealth of personal recordings, family archives, and historical footage, the film is a sensitive, and illuminating study of belonging, friendship, and family in the lives of those for whom dispossession is the norm, and yearning their daily lives.","['documentation', 'history']",tm63368,tt2233762,['PS'],2012,A World Not Ours,MOVIE,7.8,388,93,,1.106,8
,"From the Union Square Theater in New York City, veteran comic Tom Papa discusses a variety of topics, ranging from living with the worst roommates in the world to the difficulties of keeping up with rapidly changing technology.",['comedy'],tm161632,tt1910649,['US'],2011,Tom Papa: Live in New York City,MOVIE,7.2,501,57,,2.414,6.1
PG,"An orphan is abused and abandoned, believed to be dead, and upon his return is first feared as a ghost, and then projected as a superhero.","['fantasy', 'drama', 'family', 'action']",tm182026,tt1605790,['IN'],2011,Zokkomon,MOVIE,4,411,109,,1.927,6.8
PG,"Sweet, honest, and optimistic Michael Pinto has a knack for finding trouble. The search for a childhood friend leads him to the big city, and into an outlandish adventure.","['comedy', 'crime', 'drama']",tm235979,tt1512220,['IN'],2011,My Friend Pinto,MOVIE,5.3,392,115,,1.489,5
,A taxi driver new to Beirut forms an unlikely bond with a bored American Pilates instructor who loves hearing him tell stories about his past.,['drama'],tm946846,,"['US', 'LB', 'AE']",2012,Taxi Ballad,MOVIE,,,93,,0.6,
,"Abducted during the Lebanese Civil War and now in his 50s, Ramez is finally a free man. But he returns to society deeply traumatized by the past.",['drama'],tm181366,tt2091312,['LB'],2011,Here Comes the Rain,MOVIE,6.3,63,100,,0.88,
,A woman and her ex consider pregnancy to create a donor for their sick child.,['drama'],tm60213,tt2590280,['PH'],2012,One More Try,MOVIE,6,203,100,,3.235,6
G,"Bheem and his friends accompany Ming, a monk, to the Shaolin temple to fight against a dangerous Kaifu who wants to take control of the Shaolin temple.",['animation'],tm481509,tt6442670,[],2011,Chhota Bheem Master of Shaolin,MOVIE,6.1,128,75,,,
